item_id,name,flag,column,url,filename,local_file
11467493905,Untamed Road,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2815613675/TimePhoto_20260310_101929.jpg,TimePhoto_20260310_101929.jpg,11467493905_pole_untamed-road_TimePhoto_20260310_101929.jpg
11467522250,JAMES IBONG CLOSE,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2815624655/TimePhoto_20260310_103134.jpg,TimePhoto_20260310_103134.jpg,11467522250_external_james-ibong-close_TimePhoto_20260310_103134.jpg
11467522250,JAMES IBONG CLOSE,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2815625118/TimePhoto_20260310_102928.jpg,TimePhoto_20260310_102928.jpg,11467522250_internal_james-ibong-close_TimePhoto_20260310_102928.jpg
11467522250,JAMES IBONG CLOSE,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2815625410/TimePhoto_20260310_102820.jpg,TimePhoto_20260310_102820.jpg,11467522250_pole_james-ibong-close_TimePhoto_20260310_102820.jpg
11467581950,JAMES IBONG SIDE 2,???,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2815639891/TimePhoto_20260310_104006.jpg,TimePhoto_20260310_104006.jpg,11467581950_external_james-ibong-side-2_TimePhoto_20260310_104006.jpg
11467581950,JAMES IBONG SIDE 2,???,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2815640164/TimePhoto_20260310_103858.jpg,TimePhoto_20260310_103858.jpg,11467581950_internal_james-ibong-side-2_TimePhoto_20260310_103858.jpg
11467581950,JAMES IBONG SIDE 2,???,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2815640722/TimePhoto_20260310_103553.jpg,TimePhoto_20260310_103553.jpg,11467581950_pole_james-ibong-side-2_TimePhoto_20260310_103553.jpg
11467691932,Untamed Road,???,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2815675819/TimePhoto_20260310_105901.jpg,TimePhoto_20260310_105901.jpg,11467691932_external_untamed-road_TimePhoto_20260310_105901.jpg
11467691932,Untamed Road,???,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2815676092/TimePhoto_20260310_105648.jpg,TimePhoto_20260310_105648.jpg,11467691932_internal_untamed-road_TimePhoto_20260310_105648.jpg
11467691932,Untamed Road,???,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2815677739/TimePhoto_20260310_105344.jpg,TimePhoto_20260310_105344.jpg,11467691932_pole_untamed-road_TimePhoto_20260310_105344.jpg
11467964983,IFEAYIN OGUAYI CRESCENT,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2815836106/TimePhoto_20260310_115451.jpg,TimePhoto_20260310_115451.jpg,11467964983_external_ifeayin-oguayi-crescent_TimePhoto_20260310_115451.jpg
11467964983,IFEAYIN OGUAYI CRESCENT,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2815837312/TimePhoto_20260310_115220.jpg,TimePhoto_20260310_115220.jpg,11467964983_internal_ifeayin-oguayi-crescent_TimePhoto_20260310_115220.jpg
11467964983,IFEAYIN OGUAYI CRESCENT,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2815838529/TimePhoto_20260310_115015.jpg,TimePhoto_20260310_115015.jpg,11467964983_pole_ifeayin-oguayi-crescent_TimePhoto_20260310_115015.jpg
11467967363,IFEAYIN OGUAYI SIDE 2,👍,external,https://delteq-squad.monday.com/protected_static/8981894/resources/2815842100/TimePhoto_20260310_114916.jpg,TimePhoto_20260310_114916.jpg,11467967363_external_ifeayin-oguayi-side-2_TimePhoto_20260310_114916.jpg
11467967363,IFEAYIN OGUAYI SIDE 2,👍,internal,https://delteq-squad.monday.com/protected_static/8981894/resources/2815843238/TimePhoto_20260310_114740.jpg,TimePhoto_20260310_114740.jpg,11467967363_internal_ifeayin-oguayi-side-2_TimePhoto_20260310_114740.jpg
11467967363,IFEAYIN OGUAYI SIDE 2,👍,pole,https://delteq-squad.monday.com/protected_static/8981894/resources/2815844314/TimePhoto_20260310_114621.jpg,TimePhoto_20260310_114621.jpg,11467967363_pole_ifeayin-oguayi-side-2_TimePhoto_20260310_114621.jpg
